id	intent	route	reason_tag	notes
70bfdbb1639b	accessories	auto	feature_feedback	Watch workout Done button UX
9d9c00b02492	connectivity	auto	control_center_explainer	stops turning Wi-Fi on
e4a2a5f70aa1	accessories	auto	howto_public	disable raise-to-wake Watch face
6275ffd981ba	how_to_feature	auto	howto_public	how to take two free iTunes songs
c013bf8c9444	account_security	auto	howto_public	create Apple ID without credit card — Apple sent public steps
4a0b152fa783	software_update_bug	escalate	update_bug_intake	wants to roll back to iOS 10
307597d4f290	keyboard_input	auto	keyboard_public_workaround	I -> A how to fix
51fbb793e292	language_unsupported	auto	language_portal	Portuguese battery
b7af04779afd	how_to_feature	auto	howto_public	remove Advanced Mac Cleaner adware; Apple sent uninstall article
3744a8d955b2	software_update_bug	escalate	insufficient_context	OS 11 buggy as hell, no specific repro
2d9018105927	battery_power	escalate	battery_intake	fix battery in 11.1
c347eb7e1f95	battery_power	escalate	battery_intake	will not charge, 4 cables; may be hardware but they blame iOS 11
d375375e82d6	other	escalate	insufficient_context	what's going on here + screenshot
c614cb21ff3b	software_update_bug	escalate	update_bug_intake	cannot receive calls on 11.1.1
325223dc20e9	battery_power	escalate	hardware_service	battery so hot feared bulge — safety/hardware
51e29f04bce9	accessories	escalate	accessory_diagnostics	cannot update Watch
f8deebe6c4c4	software_update_bug	escalate	insufficient_context	started after update, screenshot-dependent
502b1889e92f	accessories	escalate	accessory_diagnostics	scrolling vs Digital Crown / bezel
